ssswjhhxxy,4,2017-11-17,2
ymbky,0,1990-01-01,1
jhsr,0,1990-01-01,18
fsbtdcq,0,1990-01-01,752
nwssszq,0,1990-01-01,1
awj,0,1990-01-01,49
hxxlyhjh,0,1990-01-01,29
whks,0,1990-01-01,3
njdzjcgdspmbm,0,1990-01-01,35
wyzswzh,2,2017-08-05,-1
fslz,1,2018-05-08,8
bzbs,0,1990-01-01,27
bwsdklr,6,2017-11-10,-1
gsty,1,2017-11-10,-1
rbzj,3,2017-11-10,-1
alhakb,3,2017-11-10,-1
fhfdfgj,0,1990-01-01,11
ndjswd,1,2017-12-06,-1
dsrsdf,2,2017-12-06,-1
lzzx,1,2017-12-06,-1
yywm,0,1990-01-01,3
sszz,2,2018-03-15,-1
yqpnzy,2,2018-03-16,-1
pdddfl,1,2018-04-28,-1
djyd,1,2018-05-06,-1
gyddw,0,1990-01-01,1
tsqb,1,2018-05-06,-1
jpbjzd,1,2018-05-08,-1
jydldbyj,0,1990-01-01,1
jdyzl,1,2018-05-11,-1
djsb,1,2018-05-11,-1
