2017-08-17 20:26,上白泽慧音,8 人局,黑幕,3,阵亡,平局,0,3,4,无
2017-11-13 22:13,神芙兰朵露•斯卡雷特,6 人局,司祝,1,阵亡,败北,5,1,3,你的就是我的
2017-11-13 22:42,桐谷直叶,6 人局,异端,9,阵亡,败北,5,9,13,弹射起步
