ymbky,0,1990-01-01,1
fsbtdcq,0,1990-01-01,3671
awj,1,2017-12-15,165
nwssszq,1,2017-12-07,1
hxxlyhjh,0,1990-01-01,49
jhsr,1,2017-12-07,21
fslz,1,2017-11-12,8
njdzjcgdspmbm,1,2018-02-22,175
rbzj,18,2017-07-29,-1
bzbs,1,2018-03-15,157
whks,1,2018-04-21,11
djsb,5,2017-07-29,-1
fhfdfgj,0,1990-01-01,20
ssswjhhxxy,14,2017-08-04,3
sszz,4,2017-08-03,-1
zlpccz,3,2017-08-03,-1
bwsdklr,18,2017-08-04,-1
jpbjzd,2,2017-08-04,-1
alhakb,7,2017-08-04,-1
gyddw,1,2017-11-18,29
jjddw,1,2017-08-10,-1
tjwddr,2,2017-08-10,-1
yywm,0,1990-01-01,5
szbnqb,9,2017-08-12,-1
wyzswzh,14,2017-09-03,-1
zswzgyddf,1,2017-09-09,-1
dsrsdf,8,2017-09-27,-1
mdzm,1,2017-10-14,-1
dswjj,2,2017-11-10,-1
gsty,9,2017-11-10,-1
tsqb,8,2017-11-12,-1
jydldbyj,0,1990-01-01,9
jdyzl,5,2017-11-18,-1
mydnl,2,2017-11-18,-1
dmhb,1,2017-11-18,-1
jssswysgnk,1,2017-12-06,-1
djyd,2,2018-01-13,-1
glgjssy,1,2018-03-15,-1
nzdl,2,2018-04-05,-1
ndjswd,1,2018-04-17,-1
