eight_diagram
qinggang_sword
breastplate
maid_suit
jade
spear
kylin_bow
fan
wooden_ox
vine
silver_lion
axe
blade
ibuki_gourd
guding_blade
moon_spear
renwang_shield
scroll
double_sword
ice_sword
