ssswjhhxxy,0,1990-01-01,1
ymbky,0,1990-01-01,1
fsbtdcq,0,1990-01-01,467
jhsr,0,1990-01-01,13
fslz,1,2018-07-08,8
nwssszq,0,1990-01-01,0
njdzjcgdspmbm,0,1990-01-01,30
bzbs,0,1990-01-01,21
bwsdklr,3,2018-05-27,-1
gyddw,0,1990-01-01,6
awj,0,1990-01-01,17
fhfdfgj,0,1990-01-01,4
zlpccz,1,2018-06-16,-1
hxxlyhjh,0,1990-01-01,7
rbzj,2,2018-06-25,-1
nzdl,2,2018-06-25,-1
ndjswd,1,2018-07-02,-1
yywm,0,1990-01-01,1
wyzswzh,1,2018-07-02,-1
zswzgyddf,1,2018-07-02,-1
szbnqb,1,2018-07-02,-1
tsqb,2,2018-07-08,-1
cdsc,1,2018-07-08,-1
mdzm,1,2018-07-08,-1
dmhb,1,2018-07-08,-1
jydldbyj,0,1990-01-01,1
