hxxlyhjh,0,1990-01-01,63
ssswjhhxxy,9,2017-11-19,3
ymbky,0,1990-01-01,1
fsbtdcq,0,1990-01-01,3866
fslz,1,2017-12-31,20
nwssszq,0,1990-01-01,1
njdzjcgdspmbm,1,2018-05-01,187
bzbs,1,2018-05-11,139
jhsr,1,2018-04-22,45
awj,1,2018-04-23,154
rbzj,12,2017-11-18,-1
nzdl,6,2017-11-19,-1
dsrsdf,10,2017-11-27,-1
glgjssy,1,2017-12-01,-1
fhfdfgj,0,1990-01-01,19
yywm,0,1990-01-01,7
bwsdklr,23,2017-12-02,-1
gyddw,1,2018-04-13,21
alhakb,9,2017-12-06,-1
jdyzl,2,2017-12-07,-1
whks,0,1990-01-01,9
djsb,4,2017-12-10,-1
djyd,2,2017-12-30,-1
wyzswzh,18,2017-12-30,-1
jydldbyj,0,1990-01-01,1
ndjswd,5,2018-01-06,-1
zswzgyddf,2,2018-01-16,-1
sszz,3,2018-02-23,-1
pdddfl,1,2018-02-23,-1
tsqb,12,2018-02-24,-1
mdzm,3,2018-04-02,-1
dmhb,5,2018-04-02,-1
cdsc,3,2018-04-02,-1
mydnl,2,2018-04-23,-1
gsty,1,2018-04-28,-1
szbnqb,1,2018-04-30,-1
jpbjzd,1,2018-05-09,-1
yqpnzy,1,2018-05-10,-1
ylhs,1,2018-05-13,-1
bpz,1,2018-05-18,-1
