2017-08-07 22:02,神蕾米莉娅•斯卡雷特,6 人局,异端,8,存活,胜利,11,8,13,无
2017-08-07 22:09,宫古芳香,6 人局,黑幕,0,存活,败北,6,0,0,无
2017-08-07 22:27,菲莉丝•米丝特露特,6 人局,黑幕,1,阵亡,败北,5,1,0,无
2017-08-07 22:36,岛风,6 人局,异端,2,存活,胜利,14,1,0,无
2017-08-08 18:14,艾丽,8 人局,司祝,4,阵亡,败北,5,2,2,无
2017-08-08 20:01,桂雏菊,8 人局,司祝,0,存活,平局,1,0,0,无
2017-08-08 20:07,神秦心,8 人局,异端,0,存活,平局,1,0,0,无
2017-08-08 20:25,三千院凪,8 人局,君主,2,阵亡,败北,5,1,0,无
2017-08-08 20:53,宇佐见莲子,8 人局,司祝,1,存活,败北,5,1,5,无
2017-08-08 21:38,神东风谷早苗,8 人局,司祝,4,阵亡,败北,5,4,7,战利品储藏者 登上人生巅峰 我有姿势我自豪
2017-08-08 22:03,赫丝缇雅,8 人局,异端,3,阵亡,败北,5,3,2,无
2017-08-09 19:43,东风谷早苗,6 人局,君主,21,阵亡,败北,6,20,14,迷酊之梦
2017-08-09 20:37,鹿岛,6 人局,黑幕,5,阵亡,败北,5,5,4,无
2017-08-09 20:56,两仪式,6 人局,黑幕,2,存活,败北,6,2,1,无
2017-08-09 21:25,艾露莎•斯卡雷特,6 人局,黑幕,8,存活,胜利,25,8,11,女装大佬 登上人生巅峰 弹射起步 战利品储藏者
2017-08-09 21:55,尤瑞艾莉,6 人局,异端,4,阵亡,胜利,11,4,1,无
2017-08-09 22:15,两仪式,6 人局,异端,5,存活,胜利,14,5,1,肉搏专家
2017-08-09 22:31,SP露米娅,6 人局,司祝,3,存活,败北,6,3,6,无
2017-08-09 22:56,坂井和奏,6 人局,异端,3,阵亡,败北,5,3,3,无
2017-08-10 16:18,宫水三叶,6 人局,司祝,1,存活,胜利,12,1,2,无
2017-08-10 16:49,神洩矢诹访子,6 人局,司祝,10,阵亡,胜利,10,10,10,无
2017-08-10 17:06,中野梓,6 人局,异端,5,存活,胜利,13,5,3,无
2017-08-10 17:32,SP爱丽丝•玛嘉特洛伊德,6 人局,黑幕,2,阵亡,败北,5,2,2,无
2017-08-12 15:26,凉宫春日,6 人局,君主,8,存活,胜利,12,8,10,根源的帝王
2017-08-12 15:49,神蓬莱山辉夜,6 人局,异端,6,存活,胜利,14,6,1,无
2017-08-12 16:15,东风谷早苗,6 人局,君主,12,存活,胜利,12,12,6,无
2017-08-12 16:40,凉宫春日,6 人局,君主,11,存活,胜利,11,11,3,无
2017-08-13 16:59,丰聪耳神子,6 人局,黑幕,26,阵亡,败北,13,26,15,弹射起步 旧地狱之旅
2017-08-13 17:06,凉宫春日,6 人局,君主,1,存活,平局,1,1,0,无
2017-08-13 17:18,莉莉•怀特,6 人局,异端,3,存活,胜利,14,2,0,肉搏专家
2017-08-13 20:22,赫卡缇雅•拉碧丝拉祖利,6 人局,黑幕,1,存活,平局,1,1,0,无
2017-08-14 23:14,神蓬莱山辉夜,6 人局,黑幕,12,阵亡,败北,5,12,7,莎莎杀玩家会互相吸引
2017-08-16 16:07,西行寺幽幽子,6 人局,君主,5,阵亡,败北,5,4,6,无
2017-08-16 16:26,SP物部布都,6 人局,异端,3,阵亡,败北,5,3,0,无
2017-08-17 17:04,SP爱丽丝•玛嘉特洛伊德,6 人局,异端,0,存活,平局,1,0,0,无
2017-08-17 17:14,吉普莉尔,6 人局,异端,1,存活,胜利,14,1,2,无
2017-08-17 17:45,冈崎梦美,6 人局,异端,9,存活,胜利,12,8,6,无
2017-08-17 20:26,古明地恋,8 人局,司祝,4,存活,平局,1,3,0,无
