2018-04-08 22:53:36,06p,yuki008,lord,win,shin012,renegade,lose,shin008,rebel,lose,luna002,rebel,lose,yuki007,rebel,lose,bloom030,loyalist,win
2018-04-08 22:58:52,06p,bloom031,rebel,surrender,luna053,rebel,surrender,hana010,loyalist,surrender,kami013,renegade,surrender,yuki010,rebel,surrender,wind014,lord,surrender
2018-04-08 23:19:10,06p,wind014,lord,lose,kami001,rebel,win,wind047,loyalist,lose,kami008,rebel,win,shin002,renegade,lose,luna037,rebel,win
2018-04-09 20:32:15,06p,yuki018,rebel,win,wind015,rebel,win,luna009,lord,lose,shin007,renegade,lose,kami011,loyalist,lose,yuki006,rebel,win
2018-04-09 20:42:51,06p,kaze016,rebel,win,wind028,rebel,win,kaze018,lord,lose,shin003,rebel,win,sp019,loyalist,lose,snow059,renegade,lose
2018-04-09 21:01:56,06p,kaze018,lord,surrender,kami003,rebel,surrender,kami010,rebel,surrender,bloom041,renegade,surrender,bloom006,loyalist,surrender,kaze016,rebel,surrender
2018-04-09 21:45:05,06p,wind039,renegade,win,luna020,rebel,lose,sp009,lord,lose,wind007,loyalist,lose,luna044,rebel,lose,bloom051,rebel,lose
2018-04-09 21:59:50,06p,sp014,rebel,win,tsuki002,rebel,win,wind001,lord,lose,bloom018,renegade,lose,tsuki018,rebel,win,kaze015,loyalist,lose
2018-04-09 22:25:24,06p,bloom046,lord,lose,yuki008,rebel,win,snow039,rebel,win,tsuki006,rebel,win,kaze001,loyalist,lose,wind012,renegade,lose
2018-04-09 22:42:07,06p,kaze018,lord,lose,wind046,loyalist,lose,snow015,renegade,lose,hana013,rebel,win,shin012,rebel,win,yuki014,rebel,win
2018-04-09 22:58:57,06p,hana007,rebel,win,kami013,loyalist,lose,luna060,renegade,lose,wind054,rebel,win,bloom006,rebel,win,luna049,lord,lose
2018-04-09 23:27:32,06p,snow007,rebel,win,yuki018,rebel,win,wind023,renegade,lose,bangai005,loyalist,lose,kaze001,lord,lose,kaze008,rebel,win
2018-04-10 20:53:04,06p,bloom042,rebel,win,wind001,lord,lose,sp014,rebel,win,kami008,rebel,win,shin004,renegade,lose,luna027,loyalist,lose
2018-04-10 21:00:04,06p,wind060,lord,lose,kaze008,rebel,win,luna008,renegade,lose,wind055,loyalist,lose,yuki018,rebel,win,snow034,rebel,win
2018-04-10 21:18:47,06p,tsuki007,loyalist,win,bloom061,rebel,lose,snow003,rebel,lose,wind002,renegade,lose,wind011,rebel,lose,bloom014,lord,win
2018-04-10 21:37:03,06p,wind005,rebel,win,wind039,loyalist,lose,bloom001,lord,lose,snow016,rebel,win,snow059,renegade,lose,hana002,rebel,win
2018-04-10 21:58:06,06p,luna038,lord,win,luna060,rebel,lose,snow061,loyalist,win,wind047,rebel,lose,kaze014,renegade,lose,kaze015,rebel,lose
2018-04-10 22:13:45,08p,wind043,rebel,win,tsuki018,rebel,win,bloom020,loyalist,lose,kaze014,rebel,win,hana010,rebel,win,wind014,lord,lose,wind034,loyalist,lose,yuki018,renegade,lose
2018-04-10 22:38:05,08p,kaze001,lord,win,bloom019,rebel,lose,tsuki017,rebel,lose,sp015,loyalist,win,wind041,renegade,lose,bloom013,loyalist,win,wind047,rebel,lose,sp014,rebel,lose
2018-04-12 22:37:16,06p,shin016,rebel,win,yuki004,renegade,lose,luna032,lord,lose,tsuki012,rebel,win,bangai009,loyalist,lose,sp020,rebel,win
2018-04-12 22:38:32,06p,wind001,lord,win,yuki003,rebel,lose,luna031,renegade,lose,wind050,rebel,lose,wind053,loyalist,win,tsuki002,rebel,lose
2018-04-13 21:18:08,06p,luna007,rebel,win,tsuki018,lord,lose,snow054,rebel,win,kaze002,renegade,lose,kaze008,rebel,win,sp007,loyalist,lose
2018-04-13 21:38:26,06p,wind009,rebel,win,luna003,loyalist,lose,wind027,renegade,lose,wind001,lord,lose,kami008,rebel,win,hana008,rebel,win
2018-04-13 21:55:18,06p,luna003,rebel,win,shin007,lord,lose,tsuki017,renegade,lose,sp011,rebel,win,kaze014,rebel,win,kaze008,loyalist,lose
2018-04-13 22:15:26,06p,snow050,rebel,lose,wind041,renegade,lose,hana013,loyalist,win,snow061,rebel,lose,bloom027,rebel,lose,kaze018,lord,win
2018-04-15 21:26:44,06p,snow013,rebel,win,bloom026,rebel,win,yuki018,lord,lose,snow053,renegade,lose,kami005,loyalist,lose,kaze012,rebel,win
2018-04-15 21:49:53,06p,bloom014,lord,lose,kaze017,rebel,win,sp019,renegade,lose,bloom006,rebel,win,yuki007,loyalist,lose,tsuki006,rebel,win
2018-04-15 22:03:11,06p,bloom013,loyalist,win,hana005,rebel,lose,hana011,rebel,lose,luna008,rebel,lose,shin016,renegade,lose,snow014,lord,win
2018-04-15 22:23:06,06p,snow045,renegade,lose,bloom030,rebel,lose,luna014,lord,win,luna001,loyalist,win,hana015,rebel,lose,kami004,rebel,lose
2018-04-16 23:32:09,06p,luna061,rebel,win,wind001,lord,lose,tsuki016,renegade,lose,snow034,rebel,win,luna001,loyalist,lose,bloom060,rebel,win
2018-04-16 23:53:42,06p,luna022,lord,win,hana007,renegade,lose,kaze006,rebel,lose,kami005,loyalist,win,bloom015,rebel,lose,tsuki005,rebel,lose
2018-04-17 00:32:30,06p,bangai007,renegade,lose,luna002,rebel,lose,snow057,loyalist,win,kaze004,rebel,lose,wind001,lord,win,wind015,rebel,lose
2018-04-17 00:52:43,06p,tsuki016,renegade,lose,luna005,loyalist,win,luna055,rebel,lose,luna032,rebel,lose,snow001,lord,win,kaze007,rebel,lose
2018-04-17 23:49:32,06p,kaze018,renegade,lose,snow027,rebel,lose,sp015,lord,win,luna012,loyalist,win,kami008,rebel,lose,snow062,rebel,lose
2018-04-18 00:14:01,06p,kaze012,rebel,win,shin007,renegade,lose,wind008,rebel,win,bloom021,rebel,win,snow018,loyalist,lose,snow014,lord,lose
2018-04-18 21:17:30,06p,sp017,rebel,win,yuki018,lord,lose,bloom008,loyalist,lose,wind030,renegade,lose,sp009,rebel,win,snow026,rebel,win
2018-04-18 21:50:06,06p,kami015,rebel,win,shin014,renegade,lose,yuki001,lord,lose,bloom054,rebel,win,snow052,rebel,win,snow056,loyalist,lose
2018-04-18 22:01:39,06p,bloom027,lord,lose,kaze008,rebel,win,yuki007,rebel,win,bangai007,renegade,lose,sp007,loyalist,lose,snow050,rebel,win
2018-04-18 22:12:22,06p,yuki007,rebel,lose,snow015,renegade,lose,wind035,rebel,lose,tsuki018,lord,win,kami005,loyalist,win,luna012,rebel,lose
2018-04-20 23:01:18,06p,tsuki018,lord,surrender,bangai001,rebel,surrender,sp008,rebel,surrender,luna030,rebel,surrender,sp019,renegade,surrender,kami001,loyalist,surrender
2018-04-20 23:26:35,06p,luna061,renegade,win,hana010,lord,lose,tsuki015,rebel,lose,wind032,loyalist,lose,kami001,rebel,lose,shin005,rebel,lose
2018-04-20 23:43:33,06p,kaze012,rebel,win,wind014,lord,lose,sp014,renegade,lose,bloom059,loyalist,lose,tsuki013,rebel,win,hana010,rebel,win
2018-04-21 00:05:48,06p,kaze014,lord,win,yuki017,loyalist,win,bangai005,rebel,lose,bloom030,rebel,lose,bloom019,renegade,lose,hana010,rebel,lose
2018-04-21 00:31:35,06p,kaze012,renegade,win,luna055,rebel,lose,luna025,lord,lose,kaze017,rebel,lose,snow034,rebel,lose,wind018,loyalist,lose
2018-04-21 19:47:48,06p,tsuki005,rebel,win,tsuki011,rebel,win,luna047,lord,lose,bangai001,rebel,win,kami011,loyalist,lose,bloom026,renegade,lose
2018-04-21 20:06:47,06p,bangai010,lord,lose,bangai006,rebel,win,snow019,loyalist,lose,tsuki015,renegade,lose,bangai004,rebel,win,wind062,rebel,win
2018-04-21 20:28:53,08p,luna022,lord,win,shin008,rebel,lose,kaze011,renegade,lose,luna049,rebel,lose,wind039,loyalist,win,snow056,rebel,lose,sp015,loyalist,win,snow014,rebel,lose
2018-04-21 20:47:30,08p,yuki018,rebel,win,hana014,renegade,lose,bloom025,rebel,win,hana015,rebel,win,snow017,loyalist,lose,bloom044,loyalist,lose,bloom057,lord,lose,bangai010,rebel,win
2018-04-21 21:12:26,08p,hana001,lord,win,shin016,renegade,lose,hana009,loyalist,win,sp007,rebel,lose,sp012,rebel,lose,luna033,rebel,lose,snow011,rebel,lose,wind014,loyalist,win
2018-04-21 21:59:53,08p,sp019,rebel,win,tsuki010,renegade,lose,bloom044,lord,lose,bloom011,loyalist,lose,kaze015,rebel,win,snow059,rebel,win,kami004,loyalist,lose,snow060,rebel,win
2018-04-22 19:19:54,06p,wind014,lord,win,hana002,rebel,lose,shin013,rebel,lose,sp012,rebel,lose,tsuki001,renegade,lose,wind021,loyalist,win
2018-04-22 19:33:58,06p,luna018,renegade,lose,bloom021,lord,win,shin003,rebel,lose,sp014,rebel,lose,sp002,rebel,lose,bangai012,loyalist,win
2018-04-22 20:09:33,06p,snow048,rebel,lose,snow062,rebel,lose,snow036,loyalist,win,yuki001,lord,win,kaze013,rebel,lose,luna037,renegade,lose
2018-04-22 21:08:42,06p,shin007,renegade,lose,hana013,rebel,lose,snow042,loyalist,win,shin005,rebel,lose,kami015,rebel,lose,kaze008,lord,win
2018-04-22 21:31:25,06p,bloom008,renegade,lose,kami001,loyalist,win,bangai003,rebel,lose,hana011,rebel,lose,shin009,rebel,lose,kaze016,lord,win
2018-04-22 21:58:42,06p,tsuki001,lord,lose,kami012,rebel,win,wind009,rebel,win,wind014,rebel,win,tsuki002,renegade,lose,wind053,loyalist,lose
2018-04-23 20:58:28,06p,hana008,rebel,win,luna022,rebel,win,wind046,lord,lose,hana011,loyalist,lose,wind008,rebel,win,kaze008,renegade,lose
2018-04-23 21:15:47,06p,snow010,rebel,win,snow061,loyalist,lose,kaze014,renegade,lose,bloom023,lord,lose,wind018,rebel,win,wind059,rebel,win
2018-04-23 21:56:56,06p,bloom030,lord,win,bloom051,rebel,lose,snow010,rebel,lose,kaze014,rebel,lose,bloom059,renegade,lose,wind004,loyalist,win
2018-04-23 22:41:36,06p,wind010,renegade,win,yuki001,rebel,lose,sp014,loyalist,lose,tsuki001,lord,lose,kaze008,rebel,lose,yuki003,rebel,lose
2018-04-23 23:01:56,06p,tsuki018,lord,win,hana013,rebel,lose,sp013,renegade,lose,kami003,rebel,lose,shin014,rebel,lose,tsuki008,loyalist,win
2018-04-23 23:16:24,06p,snow037,lord,lose,tsuki008,loyalist,lose,kaze008,rebel,win,bloom061,rebel,win,sp012,rebel,win,wind034,renegade,lose
2018-04-23 23:46:50,06p,bloom015,renegade,lose,wind022,rebel,win,yuki001,lord,lose,snow051,loyalist,lose,snow034,rebel,win,tsuki014,rebel,win
2018-04-24 21:35:01,06p,shin016,rebel,win,snow018,renegade,lose,bloom027,lord,lose,luna012,loyalist,lose,sp014,rebel,win,shin003,rebel,win
2018-04-24 22:38:20,06p,shin012,loyalist,win,snow047,renegade,lose,shin003,rebel,lose,tsuki018,lord,win,sp007,rebel,lose,yuki003,rebel,lose
2018-04-24 22:55:35,06p,bloom001,lord,win,sp005,rebel,lose,luna052,rebel,lose,kaze004,renegade,lose,tsuki004,rebel,lose,luna049,loyalist,win
2018-04-24 23:09:29,06p,wind014,lord,lose,sp012,rebel,win,snow007,rebel,win,wind039,rebel,win,snow033,renegade,lose,kaze003,loyalist,lose
2018-04-24 23:16:31,06p,shin003,rebel,win,wind052,loyalist,lose,yuki006,rebel,win,bloom019,renegade,lose,tsuki001,lord,lose,tsuki006,rebel,win
2018-04-24 23:26:06,06p,luna007,lord,win,bloom056,rebel,lose,wind047,rebel,lose,bloom028,loyalist,win,sp006,renegade,lose,luna052,rebel,lose
2018-04-24 23:50:28,06p,sp008,rebel,win,wind036,rebel,win,sp014,loyalist,lose,yuki006,rebel,win,sp010,renegade,lose,snow001,lord,lose
2018-04-25 00:02:02,06p,kami001,renegade,lose,luna028,rebel,win,bloom006,loyalist,lose,kaze009,rebel,win,bloom030,lord,lose,luna040,rebel,win
