2017-05-14 21:16:03,06p,kaze015,renegade,lose,snow014,lord,lose,yuki018,rebel,win,luna015,rebel,win,kami002,loyalist,lose,wind006,rebel,win
2017-05-14 21:32:38,06p,kami012,rebel,win,sp012,renegade,lose,luna028,loyalist,lose,luna014,lord,lose,bloom058,rebel,win,snow048,rebel,win
2017-05-14 22:06:27,06p,kami002,rebel,win,sp015,renegade,lose,bloom018,rebel,win,kaze018,rebel,win,yuki018,lord,lose,luna013,loyalist,lose
2017-05-14 22:23:08,08p,kami005,rebel,win,wind057,lord,lose,wind050,rebel,win,yuki008,loyalist,lose,shin006,rebel,win,yuki003,renegade,lose,kami002,loyalist,lose,snow053,rebel,win
2017-05-14 22:55:04,08p,luna049,loyalist,win,kami013,loyalist,win,kaze001,lord,win,yuki016,rebel,lose,wind024,rebel,lose,kaze008,rebel,lose,wind013,rebel,lose,luna009,renegade,lose
2017-05-14 23:13:56,08p,sp014,rebel,win,kami002,loyalist,lose,bloom020,loyalist,lose,sp007,rebel,win,snow008,rebel,win,snow050,rebel,win,luna057,renegade,lose,wind014,lord,lose
2017-05-15 00:00:25,06p,tsuki017,renegade,win,luna009,loyalist,lose,luna025,rebel,lose,wind007,lord,lose,kami002,rebel,lose,kaze010,rebel,lose
2017-05-15 00:35:13,06p,kaze001,lord,win,kaze012,rebel,lose,wind004,loyalist,win,hana011,rebel,lose,kami002,renegade,lose,bloom007,rebel,lose
2017-05-15 19:57:03,06p,snow008,rebel,win,kaze008,rebel,win,tsuki018,lord,lose,kami008,renegade,lose,kami004,loyalist,lose,luna025,rebel,win
2017-05-15 20:24:26,06p,snow015,rebel,win,luna031,loyalist,lose,snow014,lord,lose,hana002,rebel,win,tsuki008,rebel,win,sp014,renegade,lose
2017-05-15 20:42:11,06p,snow033,rebel,win,hana003,loyalist,lose,kaze013,rebel,win,kami002,renegade,lose,bangai006,rebel,win,tsuki018,lord,lose
2017-05-15 21:03:29,06p,kami001,loyalist,win,yuki007,rebel,lose,kaze018,lord,win,kaze009,rebel,lose,snow014,renegade,lose,hana014,rebel,lose
2017-05-15 21:35:48,06p,snow046,lord,win,bloom003,renegade,lose,sp002,rebel,lose,kami002,rebel,lose,wind008,rebel,lose,shin015,loyalist,win
2017-05-15 21:53:19,08p,sp003,rebel,win,yuki011,lord,lose,hana004,rebel,win,bangai007,loyalist,lose,snow030,loyalist,lose,sp016,rebel,win,luna043,rebel,win,shin012,renegade,lose
2017-05-15 22:50:17,06p,wind040,loyalist,win,wind001,lord,win,bloom020,renegade,lose,kami002,rebel,lose,snow036,rebel,lose,wind008,rebel,lose
2017-05-15 22:59:57,06p,kami002,rebel,win,luna009,renegade,lose,tsuki008,loyalist,lose,luna046,lord,lose,bloom013,rebel,win,sp003,rebel,win
2017-05-15 23:25:01,06p,bangai007,lord,lose,wind040,rebel,win,sp003,rebel,win,bloom031,loyalist,lose,wind048,renegade,lose,hana011,rebel,win
2017-05-16 21:25:10,06p,snow015,loyalist,win,snow006,rebel,lose,bloom001,lord,win,bloom018,rebel,lose,kaze004,renegade,lose,luna009,rebel,lose
